,ApplicantEducationID,ApplicantID,DateStart,DateEnd,EducationInstituteName,Score,EducationLevelID,MajorID,Degree
6652,9711,28879,2005-07-01 00:00:00.0000000,2008-07-01 00:00:00.0000000,POLITEKNIK NEGERI SRIWIJAYA PALEMBANG ,2.98,4,16.0,True
6653,9712,28881,2010-06-01 00:00:00.0000000,2013-05-01 00:00:00.0000000,SMK IBU PERTIWI 2,800.0,6,17.0,True
6654,9713,28884,2010-08-01 00:00:00.0000000,2012-05-01 00:00:00.0000000,SMA NEGERI 17 JAKARTA,7.2,5,15.0,False
6655,9714,28882,2013-10-01 00:00:00.0000000,2017-04-01 00:00:00.0000000,UNIVERSITAS WIJAYA KUSUMA SURABAYA,3.26,2,6.0,True
6656,9715,28887,2016-06-01 00:00:00.0000000,2020-03-01 00:00:00.0000000,MERCU BUANA UNIVERSITY,3.49,2,8.0,True
6657,9716,28889,2010-01-01 00:00:00.0000000,2014-12-01 00:00:00.0000000,STMIK JAKARTA,3.2,2,4.0,False
6658,9717,28892,2015-08-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAWA TIMUR,3.64,2,7.0,True
6659,9718,28896,2015-09-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,LSPR JAKARTA,3.02,2,10.0,True
6660,9719,28899,2017-06-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,SMAN 110 JAKARTA,81.0,5,,True
6661,9720,28901,2015-09-01 00:00:00.0000000,2019-05-01 00:00:00.0000000,UNIVERSITAS BSI JAKARTA,3.56,4,21.0,True
6662,9721,28902,2015-10-01 00:00:00.0000000,2019-10-01 00:00:00.0000000,UNIVERSITAS PASUNDAN,3.33,2,7.0,True
6663,9722,28904,2001-06-01 00:00:00.0000000,2005-07-01 00:00:00.0000000,UNIVERSITAS MPU TANTULAR,298.0,2,6.0,True
6664,9723,28913,2014-02-01 00:00:00.0000000,2017-02-01 00:00:00.0000000,SMK NEGERI 7 BATAM,68.0,6,17.0,True
6665,9724,28914,2015-09-01 00:00:00.0000000,2019-08-01 00:00:00.0000000,STIE DHARMA BUMIPUTERA,3.53,2,2.0,True
6666,9725,28918,2016-10-01 00:00:00.0000000,2019-11-01 00:00:00.0000000,UNIVERSITAS BINA SARANA INFORMATIKA,3.55,4,4.0,True
6667,9726,28907,2015-08-01 00:00:00.0000000,2017-09-01 00:00:00.0000000,LSPR JAKARTA,337.0,1,10.0,True
6668,9727,28930,2006-08-01 00:00:00.0000000,2009-08-01 00:00:00.0000000,INSTITUT PERTANIAN BOGOR,2.71,4,16.0,True
6669,9728,28940,2009-02-01 00:00:00.0000000,2013-09-01 00:00:00.0000000,UNIVERSITAS NEGERI JAKARTA,3.16,2,7.0,False
6670,9729,28944,2011-06-01 00:00:00.0000000,2014-05-01 00:00:00.0000000,SMKN 46 JAKARTA,8.67,6,17.0,False
6671,9731,28949,2015-09-01 00:00:00.0000000,2019-12-01 00:00:00.0000000,GUNADARMA,3.43,2,3.0,True
6672,9732,28951,2015-05-01 00:00:00.0000000,2019-12-01 00:00:00.0000000,SEKOLAH TINGGI ILMU EKONOMI INDONESIA,3.57,2,2.0,True
6673,9733,28952,2013-06-01 00:00:00.0000000,2018-12-01 00:00:00.0000000,UNIVERSITAS AIRLANGGA,3.17,2,6.0,True
6674,9735,28954,2016-07-01 00:00:00.0000000,2019-05-01 00:00:00.0000000,SMA INFORMATIKA CIAMIS,88.0,5,13.0,False
6675,9736,28925,2014-11-01 00:00:00.0000000,2018-12-01 00:00:00.0000000,UNIVERSITAS PERSADA INDONESIA,3.14,2,10.0,True
