CityID,CityName
431,sijunjung
290,sikka
478,simalungun
262,simeulue
159,singkawang
370,sinjai
157,sintang
140,situbondo
44,sleman
432,solok
433,solok selatan
371,soppeng
332,sorong
333,sorong selatan
111,sragen
81,subang
266,subulussalam
82,sukabumi
185,sukamara
112,sukoharjo
291,sumba barat
292,sumba barat daya
293,sumba tengah
294,sumba timur
273,sumbawa
274,sumbawa barat
83,sumedang
141,sumenep
67,sungaipenuh
320,supiori
1,surabaya
118,surakarta
167,tabalong
17,tabanan
372,takalar
334,tambrauw
200,tana tidung
373,tana toraja
168,tanah bumbu
434,tanah datar
169,tanah laut
28,tangerang
30,tangerang selatan
218,tanggamus
488,tanjung balai
63,tanjung jabung barat
64,tanjung jabung timur
208,tanjung pinang
479,tapanuli selatan
480,tapanuli tengah
481,tapanuli utara
170,tapin
201,tarakan
84,tasikmalaya
489,tebing tinggi
65,tebo
113,tegal
335,teluk bintuni
336,teluk wondama
114,temanggung
243,ternate
244,tidore kepulauan
295,timor tengah selatan
296,timor tengah utara
482,toba samosir
388,tojo una-una
321,tolikara
389,toli-toli
422,tomohon
374,toraja utara
142,trenggalek
234,tual
143,tuban
219,tulang bawang
220,tulang bawang barat
144,tulungagung
375,wajo
405,wakatobi
322,waropen
221,way kanan
115,wonogiri
116,wonosobo
323,yahukimo
324,yalimo
45,yogyakarta
