✅☑️dotnet developer
✅☑️3d interior design
✅☑️3d video animator
✅☑️account executive
✅☑️account executive (marketing)
✅☑️account executive / account officer
✅☑️account officer
✅☑️account receivable / income audit
✅accounting
✅accounting auditor senior
✅accounting staff
admin accounting
admin design
admin engineering
admin engineering & ga
admin foto
admin foto produksi
admin ga
admin general affair
admin general operational
admin gudang
admin hrga
admin it
admin leasing
admin legal
admin maintenance
admin marketing
admin perizinan
admin project 
admin project officer
admin project officer (sipil)
admin support business development
admin support research & development
admin teknik
admin traffic
admin workshop puri
✅administrasi
administrasi - bali
administrasi (marketing)
administrasi engineering
administrasi maintenance
administrasi pajak ijin
android programmer 
✅animator 3d 
✅arsitek
asisstant manager finance & accounting
asisten manager finance & accounting 
assistant teacher
asst. building manager
asst. chief accounting
asst. chief engineering
asst. executive housekeeping
asst. food beverage
asst. manager leasing mall
✅auditor internal
✅auditor staf
✅auditor staff
banquet attendant
barista resto
book keeper
book keeper (accounting department)
building manager
building manager mall
business development senior/spv
capt
cashier accounting
cashier accounting staff
cashier f&b
celeaning service
chasier
chef de partie (cdp)
chief accounting
chief engineering
chief finance & accounting
chief ga
cleaning service
cleaning service puri
collection & cashier staff
collection staff
cook
cook resto
corporate operational manager
cost control 
cost control (accounting department)
creative design
customer service
customer service mall
data warehouse specialist
desain grafis
desain visualisasi
desain visualisasi (lokasi)
desain visualisasi (lokasi)`
design grafis
design graphic
design staff
digital marketing specialist
director of sales hotel
✅☑️diver
✅☑️driver
✅☑️driver puri
✅☑️driver wwm jakarta
e-commerce
engineering
engineering apprentice
engineering mall
engineering staff
english teacher
estimator
executive housekeeping
executive secretary
f&b supervisor
fb manager
finance
finance & accounting
finance & accounting supervisor
finance accounting
finance collection
finance staff
financial planner
fitout
fitout & ga mall
fitout mall
food and beverages manager
foodcourt manager
franchise & business development manager
front desk agent
front desk agent (dw)
front desk agent (fda)
front end web programmer
general admin
general admin mall
general affair
general affair (ga)
general affair building
general cashier
general manager hotel
general manager mall
graphic design
graphic design & marketing communication
graphic design hotel
graphic design internship
graphic design staff
guru bahasa mandarin (laoshi)
guru daycare 
gym manager
housekeeping ordertaker
housekeeping room attendant
housekeeping supervisor
hrd
hrd manager
hrd payrol staf
hrd payroll staff
hrd senior
hrd staff
hr-od
human resources (hr) manager
human resources internship
humas staff
income & account receivable
interior designer
internal audit
internal audit staff
internal auditor
ios developer
it - android programmer
it android programmer
it artificial intelligence
it network  staff
it network staff
it officer
it programmer
it staff
it support
it support (jakarta)
junior associate
junior mep
karaoke and entertainment centre manager
kasir
kasir akunting
kasir foodcourt
kitchen
kitchen staff gunawangsa hotel merr
koordinator maintenance
kurir
kurir & ob
landscape / gardener officer
leasing apartemen
leasing apartment
leasing foodcourt
leasing mall
leasing mall foodcourt
legal 
legal & humas
legal humas
legal kontrak
legal leasing mall
legal litigasi
legal manager
legal perijinan
legal staff
legal supervisor
maintenance
maintenance electician
maintenance electrical
maintenance las
manager account officer
manager business development 
manager finance
manager finance & accounting
manager finance accounting
manager hr ga 
manager hrd
manager legal
manager marketing
manager operational
manager outlet
marcomm
marcomm internship
marcomm mall
marcomm staff
marketing
marketing  (ci)
marketing - bali
marketing (bali)
marketing (property)
marketing (surabaya)
marketing and parent liaison leap preschool
marketing apps
marketing communication
marketing communication (marcomm)
marketing communication for mall
marketing executive
marketing freelance
marketing it
marketing karaoke
marketing karaoke & entertainment centre
marketing leasing
marketing leasing mall
marketing manager
marketing property
marketing property staff
marketing software
marketing staff
marketing supervisor
marketing support staff
mechanical electric staff
mechanical electrik staff
network dan it security specialist
night audit
operational manager
operational staff
pajak ijin
pengawas lapangan
penjaga stand
perencana proyek
perijinan dan humas
perijinan staff
personal assistant
programmer staff
programmer staff (jakarta)
project officer
ptk - maintanence las & cover
ptk - maintenance las 
ptk - maintenance las & cover
ptk recovering
public area attendant
purchase staff 
purchasing staff
qc lapangan
r&d staff
receptionist
recruitment staff
resident relation
sales execuitve
sales executive
sales executive (goverment segment)
sales executive gunawangsa hotel merr
sales executive hotel gunawangsa merr
sales marketing manager
satff general affair
sekretaris
sekretaris accounting
sekretaris direksi
sekretaris legal
sekretaris legal pajak ijin
sekretaris lokasi
senior account executive
senior accounting
senior associate
senior estimator
senior finance collection
senior hrd
senior it
senior marketing
senior marketing manager property
senior marketing property
senior sekretaris
senior staff general affair
senior staff hrd
senior staff legal litigasi
server
service advidor (teknisi)
site manager
social media manager
social media officer
sosial media
source &aplicant jobs
sous chef
spv accounting
spv bm-me
spv fa
spv hrd
spv it
spv marcomm & bus. development
spv marcomm & desing
staf admin
staf humas
staf marketing
staf operasional kelistrikan
staf pajak
staff accounting
staff accounting - pajak 
staff admin
staff admin gudang workshop puri
staff admin gudang ws puri
staff admin umum (puri)
staff admin workshop puri
staff arsitek
staff bm me
staff bm-me
staff collection
staff desain
staff desain (r&d)
staff design graphis
staff engineering
staff finance
staff finance accounting
staff finance ar
staff finance collection
staff ga
staff ga inventory
staff ga vehicle
staff general affair
staff hrd
staff it
staff it led
staff legal
staff legal kontrak
staff legal litigasi
staff maintenance
staff maintenance go
staff marketing
staff marketing support
staff outlet
staff outlet boba
staff outlet f&b
staff perijinan
staff r & d
staff r&d
staff research & development
staff research & development (r&d)
staff tax
staff tax & permit
staff teknik sipil
staff traffic
staff umum (makassar)
staff umum (medan)
store supervisor resto 
supervisor accounting
supervisor collection
supervisor finance
supervisor finance collection
supervisor floor karaoke
supervisor ga
supervisor general affair
supervisor hrd
supervisor hrga
supervisor it
supervisor lapangan
supervisor legal
supervisor marcomm
supervisor marketing
supervisor me (mechanical electrical)
supervisor pajak
supervisor purchasing
surveyor general operation
surveyor general operational
surveyor general oprational
surveyor lapangan
surveyor r & d
surveyor r&d
teacher
technical support
tek
teknisi
teknisi (maintenance) bali
teknisi karaoke
teknisi me (maintenance)
tenant relation
tenant relation mall
test
test data hilang
test job
testing it
tim led
tim led it
tim led listrik
translator staff
tukang listrik
waiter / waitress resto
waitress
waitress / fb cashier 
web programmer
website developer
