,CityID,Name
243,365,LUWU UTARA
244,128,MADIUN
245,103,MAGELANG
246,129,MAGETAN
247,191,MAHAKAM ULU
248,78,MAJALENGKA
249,349,MAJENE
250,6,MAKASSAR
251,282,MALAKA
252,9,MALANG
253,198,MALINAU
254,227,MALUKU BARAT DAYA
255,228,MALUKU TENGAH
256,229,MALUKU TENGGARA
257,230,MALUKU TENGGARA BARAT
258,350,MAMASA
259,308,MAMBERAMO RAYA
260,309,MAMBERAMO TENGAH
261,351,MAMUJU
262,352,MAMUJU TENGAH
263,353,MAMUJU UTARA
264,421,MANADO
265,468,MANDAILING NATAL
266,283,MANGGARAI
267,284,MANGGARAI BARAT
268,285,MANGGARAI TIMUR
269,327,MANOKWARI
270,328,MANOKWARI SELATAN
271,310,MAPPI
272,366,MAROS
273,275,MATARAM
274,329,MAYBRAT
275,5,MEDAN
276,152,MELAWI
277,153,MEMPAWAH
278,60,MERANGIN
279,311,MERAUKE
280,214,MESUJI
281,223,METRO
282,312,MIMIKA
283,415,MINAHASA
284,416,MINAHASA SELATAN
285,417,MINAHASA TENGGARA
286,418,MINAHASA UTARA
287,130,MOJOKERTO
288,383,MOROWALI
289,384,MOROWALI UTARA
290,444,MUARA ENIM
291,61,MUARO JAMBI
292,37,MUKO MUKO
293,403,MUNA
294,404,MUNA BARAT
295,182,MURUNG RAYA
296,445,MUSI BANYUASIN
297,446,MUSI RAWAS
298,447,MUSI RAWAS UTARA
299,313,NABIRE
300,259,NAGAN RAYA
301,286,NAGEKEO
302,206,NATUNA
303,314,NDUGA
304,287,NGADA
305,131,NGANJUK
306,132,NGAWI
307,469,NIAS
308,470,NIAS BARAT
309,471,NIAS SELATAN
310,472,NIAS UTARA
311,199,NUNUKAN
312,448,OGAN ILIR
313,449,OGAN KOMERING ILIR
314,450,OGAN KOMERING ULU
315,451,OGAN KOMERING ULU SELATAN
316,452,OGAN KOMERING ULU TIMUR
317,133,PACITAN
318,436,PADANG
319,473,PADANG LAWAS
320,474,PADANG LAWAS UTARA
321,437,PADANG PANJANG
322,427,PADANG PARIAMAN
323,485,PADANG SIDEMPUAN
324,455,PAGAR ALAM
325,475,PAKPAK BHARAT
326,186,PALANGKA RAYA
327,456,PALEMBANG
328,376,PALOPO
329,390,PALU
330,134,PAMEKASAN
331,26,PANDEGLANG
332,79,PANGANDARAN
333,367,PANGKAJENE KEPULAUAN
334,24,PANGKAL PINANG
335,315,PANIAI
336,377,PAREPARE
337,438,PARIAMAN
338,385,PARIGI MOUTONG
339,428,PASAMAN
340,429,PASAMAN BARAT
341,192,PASER
342,135,PASURUAN
343,104,PATI
344,439,PAYAKUMBUH
345,330,PEGUNUNGAN ARFAK
346,316,PEGUNUNGAN BINTANG
347,105,PEKALONGAN
348,348,PEKANBARU
349,343,PELALAWAN
350,106,PEMALANG
351,486,PEMATANG SIANTAR
352,193,PENAJAM PASER UTARA
353,453,PENUKAL ABAB LEMATANG ILIR
354,215,PESAWARAN
355,216,PESISIR BARAT
356,430,PESISIR SELATAN
357,260,PIDIE
358,261,PIDIE JAYA
359,368,PINRANG
360,56,POHUWATO
361,354,POLEWALI MANDAR
362,136,PONOROGO
363,158,PONTIANAK
364,386,POSO
365,457,PRABUMULIH
366,217,PRINGSEWU
367,137,PROBOLINGGO
368,183,PULANG PISAU
369,241,PULAU MOROTAI
370,242,PULAU TALIABU
371,317,PUNCAK
372,318,PUNCAK JAYA
373,107,PURBALINGGA
374,80,PURWAKARTA
375,108,PURWOREJO
376,331,RAJA AMPAT
377,38,REJANG LEBONG
378,109,REMBANG
379,344,ROKAN HILIR
380,345,ROKAN HULU
381,288,ROTE NDAO
382,265,SABANG
383,289,SABU RAIJUA
384,117,SALATIGA
385,196,SAMARINDA
386,154,SAMBAS
387,476,SAMOSIR
388,138,SAMPANG
389,155,SANGGAU
390,319,SARMI
391,62,SAROLANGUN
392,440,SAWAH LUNTO
393,156,SEKADAU
394,39,SELUMA
395,110,SEMARANG
396,231,SERAM BAGIAN BARAT
397,232,SERAM BAGIAN TIMUR
398,27,SERANG
399,477,SERDANG BEDAGAI
400,184,SERUYAN
401,346,SIAK
402,487,SIBOLGA
403,369,SIDENRENG RAPPANG
404,139,SIDOARJO
405,387,SIGI
406,431,SIJUNJUNG
407,290,SIKKA
408,478,SIMALUNGUN
409,262,SIMEULUE
410,159,SINGKAWANG
411,370,SINJAI
412,157,SINTANG
413,140,SITUBONDO
414,44,SLEMAN
415,432,SOLOK
416,433,SOLOK SELATAN
417,371,SOPPENG
418,332,SORONG
419,333,SORONG SELATAN
420,111,SRAGEN
421,81,SUBANG
422,266,SUBULUSSALAM
423,82,SUKABUMI
424,185,SUKAMARA
425,112,SUKOHARJO
426,291,SUMBA BARAT
427,292,SUMBA BARAT DAYA
428,293,SUMBA TENGAH
429,294,SUMBA TIMUR
430,273,SUMBAWA
431,274,SUMBAWA BARAT
432,83,SUMEDANG
433,141,SUMENEP
434,67,SUNGAIPENUH
435,320,SUPIORI
436,1,SURABAYA
437,118,SURAKARTA
438,167,TABALONG
439,17,TABANAN
440,372,TAKALAR
441,334,TAMBRAUW
442,200,TANA TIDUNG
443,373,TANA TORAJA
444,168,TANAH BUMBU
445,434,TANAH DATAR
446,169,TANAH LAUT
447,28,TANGERANG
448,30,TANGERANG SELATAN
449,218,TANGGAMUS
450,488,TANJUNG BALAI
451,63,TANJUNG JABUNG BARAT
452,64,TANJUNG JABUNG TIMUR
453,208,TANJUNG PINANG
454,479,TAPANULI SELATAN
455,480,TAPANULI TENGAH
456,481,TAPANULI UTARA
457,170,TAPIN
458,201,TARAKAN
459,84,TASIKMALAYA
460,489,TEBING TINGGI
461,65,TEBO
462,113,TEGAL
463,335,TELUK BINTUNI
464,336,TELUK WONDAMA
465,114,TEMANGGUNG
466,243,TERNATE
467,244,TIDORE KEPULAUAN
468,295,TIMOR TENGAH SELATAN
469,296,TIMOR TENGAH UTARA
470,482,TOBA SAMOSIR
471,388,TOJO UNA-UNA
472,321,TOLIKARA
473,389,TOLI-TOLI
474,422,TOMOHON
475,374,TORAJA UTARA
476,142,TRENGGALEK
477,234,TUAL
478,143,TUBAN
479,219,TULANG BAWANG
480,220,TULANG BAWANG BARAT
481,144,TULUNGAGUNG
482,375,WAJO
483,405,WAKATOBI
484,322,WAROPEN
485,221,WAY KANAN
486,115,WONOGIRI
487,116,WONOSOBO
488,323,YAHUKIMO
489,324,YALIMO
490,45,YOGYAKARTA
